xxx,Epoch,Loss
Training,922,170.8684
Training,923,170.8421
Training,924,170.8169
Training,925,170.8291
Training,926,170.7961
Training,927,170.9023
Training,928,170.8487
Training,929,170.925
Training,930,170.9413
Training,931,170.7881
Training,932,170.7755
Training,933,170.7852
Training,934,170.8709
Training,935,170.7502
Training,936,170.7871
Training,937,170.8308
Training,938,170.8245
Training,939,170.8069
Training,940,170.8584
Training,941,170.8034
Training,942,170.801
Training,943,170.8339
Training,944,170.7928
Training,945,170.7444
Training,946,170.8117
Training,947,170.7916
Training,948,170.7491
Training,949,170.6933
Training,950,170.7231
Training,951,170.777
Training,952,170.7162
Training,953,170.6901
Training,954,170.7485
Training,955,170.7746
Training,956,170.6997
Training,957,170.7949
Training,958,170.7312
Training,959,170.6988
Training,960,170.7138
Training,961,170.754
Training,962,170.6765
Training,963,170.7333
Training,964,170.7247
Training,965,170.6604
Training,966,170.7168
Training,967,170.7253
Training,968,170.6968
Training,969,170.669
Training,970,170.6778
Training,971,170.7078
Training,972,170.7065
Training,973,170.6677
Training,974,170.6807
Training,975,170.5988
Training,976,170.6941
Training,977,170.6363
Training,978,170.6457
Training,979,170.5537
Training,980,170.6349
Training,981,170.6127
Training,982,170.6536
Training,983,170.607
Training,984,170.6123
Training,985,170.5736
Training,986,170.6426
Training,987,170.5361
Training,988,170.7297
Training,989,170.5914
Training,990,170.5963
Training,991,170.5519
Training,992,170.5365
Training,993,170.5529
Training,994,170.6213
Training,995,170.5687
Training,996,170.5516
Training,997,170.6345
Training,998,170.6019
Training,999,170.6092
Training,1000,170.5174
Training,1001,170.5687
Training,1002,170.5608
Training,1003,170.5576
Training,1004,170.5125
Training,1005,170.5594
Training,1006,170.5167
Training,1007,170.5632
Training,1008,170.4497
Training,1009,170.4511
Training,1010,170.5918
Training,1011,170.5057
Training,1012,170.5415
Training,1013,170.5053
Training,1014,170.4968
Training,1015,170.5199
Training,1016,170.4087
Training,1017,170.4983
Training,1018,170.4659
Training,1019,170.5579
Training,1020,170.4681
Training,1021,170.488
Training,1022,170.4968
Training,1023,170.4433
Training,1024,170.4971
Training,1025,170.4614
Training,1026,170.5025
Training,1027,170.4203
Training,1028,170.4538
Training,1029,170.4726
Training,1030,170.4047
Training,1031,170.5008
Training,1032,170.5727
Training,1033,170.4067
Training,1034,170.4639
Training,1035,170.4609
Training,1036,170.3914
Training,1037,170.3703
Training,1038,170.3748
Training,1039,170.4293
Training,1040,170.3815
Training,1041,170.3678
Training,1042,170.4364
Training,1043,170.4327
Training,1044,170.3234
Training,1045,170.4664
Training,1046,170.4659
Training,1047,170.385
Training,1048,170.387
Training,1049,170.3302
Training,1050,170.3403
Training,1051,170.3889
Training,1052,170.3716
Training,1053,170.3425
Training,1054,170.407
Training,1055,170.3933
Training,1056,170.3605
Training,1057,170.2779
Training,1058,170.349
Training,1059,170.3717
Training,1060,170.3399
Training,1061,170.2194
Training,1062,170.3233
Training,1063,170.3433
Training,1064,170.2892
Training,1065,170.312
Training,1066,170.2661
Training,1067,170.3846
Training,1068,170.3053
Training,1069,170.2977
Training,1070,170.3034
Training,1071,170.2484
Training,1072,170.2149
Training,1073,170.2667
Training,1074,170.2803
Training,1075,170.368
Training,1076,170.1529
Training,1077,170.2248
Training,1078,170.3434
Training,1079,170.2188
Training,1080,170.23
Training,1081,170.2467
Training,1082,170.2103
Training,1083,170.2092
Training,1084,170.1879
Training,1085,170.2276
Training,1086,170.1841
Training,1087,170.2495
Training,1088,170.2399
Training,1089,170.2611
Training,1090,170.2531
Training,1091,170.1854
Training,1092,170.221
Training,1093,170.1158
Training,1094,170.1648
Training,1095,170.1864
Training,1096,170.2463
Training,1097,170.2332
Training,1098,170.1878
Training,1099,170.094
Training,1100,170.2353
Training,1101,170.2117
Training,1102,170.2128
Training,1103,170.1733
Training,1104,170.2059
Training,1105,170.2345
Training,1106,170.1847
Training,1107,170.1873
Training,1108,170.173
Training,1109,170.0872
Training,1110,170.1193
Training,1111,170.141
Training,1112,170.1033
Training,1113,170.0582
Training,1114,170.2336
Training,1115,170.1786
Training,1116,170.1184
Training,1117,170.1142
Training,1118,170.1482
Training,1119,170.1088
Training,1120,170.1518
Training,1121,170.1008
Training,1122,170.131
Training,1123,170.1428
Training,1124,170.102
Training,1125,170.0273
Training,1126,170.0241
Training,1127,170.0939
Training,1128,170.1313
Training,1129,170.1179
Training,1130,170.0992
Training,1131,170.0874
Training,1132,170.0648
Training,1133,170.096
Training,1134,169.9455
Training,1135,170.0799
Training,1136,170.0618
Training,1137,169.9428
Training,1138,170.0249
Training,1139,170.1026
Training,1140,170.0531
Training,1141,170.0665
Training,1142,170.0342
Training,1143,169.9869
Training,1144,170.0019
Training,1145,169.9782
Training,1146,170.0433
Training,1147,169.9825
Training,1148,170.05
Training,1149,170.0151
Training,1150,169.9895
Training,1151,169.9474
Training,1152,170.0464
Training,1153,170.007
Training,1154,169.9316
Training,1155,170.0661
Training,1156,169.9642
Training,1157,169.9285
Training,1158,169.9145
Training,1159,169.9295
Training,1160,169.9796
Training,1161,169.9386
Training,1162,169.9751
Training,1163,169.9694
Training,1164,169.9175
Training,1165,169.9135
Training,1166,169.9024
Training,1167,169.9544
Training,1168,169.9465
Training,1169,169.9395
Training,1170,169.9158
Training,1171,169.9942
Training,1172,169.9557
Training,1173,169.9312
Training,1174,169.8884
Training,1175,169.8699
Training,1176,169.794
Training,1177,169.8844
Training,1178,169.8268
Training,1179,169.8652
Training,1180,169.9083
Training,1181,169.8586
Training,1182,169.9203
Training,1183,169.8704
Training,1184,169.8765
Training,1185,169.9005
Training,1186,169.8142
Training,1187,169.8092
Training,1188,169.9153
Training,1189,169.9098
Training,1190,169.8853
Training,1191,169.8038
Training,1192,169.849
Training,1193,169.8144
Training,1194,169.8691
Training,1195,169.8858
Training,1196,169.8582
Training,1197,169.8039
Training,1198,169.764
Training,1199,169.778
Training,1200,169.8661
Training,1201,169.8714
Training,1202,169.7773
Training,1203,169.8357
Training,1204,169.7759
Training,1205,169.835
Training,1206,169.8056
Training,1207,169.7653
Training,1208,169.8046
Training,1209,169.7746
Training,1210,169.7896
Training,1211,169.8236
Training,1212,169.7706
Training,1213,169.8387
Training,1214,169.7761
Training,1215,169.6843
Training,1216,169.7731
Training,1217,169.773
Training,1218,169.827
Training,1219,169.8386
Training,1220,169.7212
Training,1221,169.7366
Training,1222,169.6995
