epoch,training_loss,testing_loss,accuracy
414,96.951,98.2754,0.987
415,96.9334,98.2545,0.99
416,96.9247,98.2996,0.992
417,96.9357,98.4648,0.985
418,96.918,98.2965,0.98
419,96.9072,98.2813,0.985
420,96.8787,98.196,0.99
421,96.874,98.1818,0.983
422,96.878,98.2893,0.986
423,96.8553,98.2573,0.99
424,96.847,98.2329,0.981
425,96.8489,98.2591,0.986
426,96.8411,98.2373,0.992
427,96.8495,98.2388,0.975
428,96.8308,98.2379,0.988
429,96.816,98.2768,0.987
430,96.8064,98.242,0.989
431,96.8032,98.1954,0.987
432,96.7859,98.1655,0.988
433,96.7784,98.2002,0.982
434,96.7864,98.1792,0.979
435,96.7642,98.1526,0.984
436,96.7508,98.2084,0.988
437,96.7444,98.2359,0.986
438,96.7333,98.1717,0.985
439,96.7543,98.2114,0.989
440,96.7327,98.1104,0.985
441,96.7228,98.1227,0.989
442,96.6971,98.1273,0.99
443,96.7136,98.1106,0.986
444,96.7075,98.1251,0.986
445,96.6934,98.2133,0.986
446,96.6933,98.1204,0.983
447,96.6778,98.143,0.985
448,96.6738,98.0767,0.98
449,96.6546,98.0506,0.981
450,96.6564,98.1545,0.984
451,96.6538,98.1704,0.986
452,96.648,98.1576,0.988
453,96.6288,98.0978,0.987
454,96.6068,98.114,0.989
455,96.6168,98.0937,0.988
456,96.5904,98.1254,0.989
457,96.6012,98.0409,0.987
458,96.6054,98.0337,0.991
459,96.5875,98.0889,0.98
460,96.5776,98.0703,0.984
461,96.5576,98.0161,0.983
462,96.5767,98.0431,0.985
463,96.5454,98.1231,0.993
464,96.5474,98.045,0.986
465,96.5438,98.0593,0.98
466,96.533,98.0944,0.993
467,96.5351,98.1161,0.979
468,96.5242,98.0588,0.985
469,96.5116,98.0715,0.989
470,96.5088,98.0925,0.98
471,96.4901,98.073,0.981
472,96.4991,97.9949,0.991
473,96.4572,97.9733,0.988
474,96.466,98.1363,0.989
475,96.4589,97.9672,0.989
476,96.4699,97.9677,0.989
