epoch,train_loss,test_loss,vae_efficiency,n0_fr1,zero_pixels
456,231.3001414870111,248.4190775156021,0.56,45,9626.76
457,231.2936471012594,248.41801803845627,0.515,39,9684.72
458,231.26798683978166,248.60757000171222,0.56,51,9662.33
459,231.24502640863577,248.9540519806055,0.505,38,9644.23
460,231.2096300170182,248.71301644582016,0.44,35,9648.905
461,231.17954732862628,248.61006617546082,0.515,45,9653.405
462,231.1753051500825,248.43432085789166,0.485,37,9639.31
463,231.18356914778997,248.47798681717651,0.525,38,9627.795
464,231.12207443593132,248.78695705303778,0.54,39,9639.595
465,231.1062473392472,248.28632108064798,0.505,38,9650.415
466,231.06910691030905,248.89228419157175,0.51,37,9641.425
467,231.0533861585587,248.9054833008693,0.555,45,9658.53
468,231.0495668305727,248.63055684474799,0.55,44,9638.73
469,231.00247088105118,248.32026941959674,0.55,35,9646.4
470,231.00262372389452,248.24352213052603,0.43,33,9620.68
471,230.98269535582742,249.09870685522372,0.52,42,9653.415
472,230.9483622123766,248.6577410056041,0.565,44,9639.275
473,230.94227201679533,248.83100315240713,0.475,38,9623.23
474,230.91256039245448,248.60389528824732,0.485,41,9673.97
475,230.90406965311846,248.6536137049015,0.55,43,9590.93
476,230.89014273761086,248.24454504709976,0.52,37,9661.575
477,230.8373605911006,248.21452981692093,0.52,42,9661.31
478,230.81530328793346,248.64770533488348,0.465,33,9598.645
479,230.819629670643,249.03638927753155,0.505,36,9634.04
480,230.828081749031,248.06369737019907,0.535,35,9651.705
